Date,Open,High,Low,Close,Adj Close,Volume,ups and down
4/24/2015,130.490005,130.630005,129.229996,130.279999,121.460663,44525900,0
4/27/2015,132.309998,133.130005,131.149994,132.649994,123.670227,96954200,2.369995
4/28/2015,134.460007,134.539993,129.570007,130.559998,121.721718,118924000,-2.089996
4/29/2015,130.160004,131.589996,128.300003,128.639999,119.931686,63386100,-1.919999
4/30/2015,128.639999,128.639999,124.580002,125.150002,116.677956,83195400,-3.489997
5/1/2015,126.099998,130.130005,125.300003,128.949997,120.220688,58512600,3.799995
5/4/2015,129.5,130.570007,128.259995,128.699997,119.987633,50988300,-0.25
5/5/2015,128.149994,128.449997,125.779999,125.800003,117.283951,49271400,-2.899994
5/6/2015,126.559998,126.75,123.360001,125.010002,116.547424,72141000,-0.790001
5/7/2015,124.769997,126.080002,124.019997,125.260002,117.268303,43940900,0.25
5/8/2015,126.68,127.620003,126.110001,127.620003,119.477737,55550400,2.360001
5/11/2015,127.389999,127.559998,125.629997,126.32,118.260674,42035800,-1.300003
5/12/2015,125.599998,126.879997,124.82,125.870003,117.839386,48160000,-0.449997
5/13/2015,126.150002,127.190002,125.870003,126.010002,117.970436,34694200,0.139999
5/14/2015,127.410004,128.949997,127.160004,128.949997,120.72287,45203500,2.939995
5/15/2015,129.070007,129.490005,128.210007,128.770004,120.554352,38208000,-0.179993
5/18/2015,128.380005,130.720001,128.360001,130.190002,121.883774,50882900,1.419998
5/19/2015,130.690002,130.880005,129.639999,130.070007,121.771431,44633200,-0.119995
5/20/2015,130,130.979996,129.339996,130.059998,121.762047,36454900,-0.010009
5/21/2015,130.070007,131.630005,129.830002,131.389999,123.007195,39730400,1.330001
5/22/2015,131.600006,132.970001,131.399994,132.539993,124.083832,45596000,1.149994
5/26/2015,132.600006,132.910004,129.119995,129.619995,121.350128,70697600,-2.919998
5/27/2015,130.339996,132.259995,130.050003,132.039993,123.615738,45833200,2.419998
5/28/2015,131.860001,131.949997,131.100006,131.779999,123.372292,30733300,-0.259994
5/29/2015,131.229996,131.449997,129.899994,130.279999,121.96801,50884500,-1.5
6/1/2015,130.279999,131.389999,130.050003,130.539993,122.211426,32112800,0.259994
6/2/2015,129.860001,130.660004,129.320007,129.960007,121.668449,33667600,-0.579986
6/3/2015,130.660004,130.940002,129.899994,130.119995,121.81823,30889400,0.159988
6/4/2015,129.580002,130.580002,128.910004,129.360001,121.106728,38450100,-0.759994
6/5/2015,129.5,129.690002,128.360001,128.649994,120.442009,35626800,-0.710007
6/8/2015,128.899994,129.210007,126.830002,127.800003,119.64624,52674800,-0.849991
6/9/2015,126.699997,128.080002,125.620003,127.419998,119.290497,56075400,-0.380005
6/10/2015,127.919998,129.339996,127.849998,128.880005,120.657349,39087300,1.460007
6/11/2015,129.179993,130.179993,128.479996,128.589996,120.385834,35390900,-0.290009
6/12/2015,128.190002,128.330002,127.110001,127.169998,119.056442,36886200,-1.419998
6/15/2015,126.099998,127.239998,125.709999,126.919998,118.822388,43988900,-0.25
6/16/2015,127.029999,127.849998,126.370003,127.599998,119.459007,31494100,0.68
6/17/2015,127.720001,127.879997,126.739998,127.300003,119.178154,32918100,-0.299995
6/18/2015,127.230003,128.309998,127.220001,127.879997,119.72113,35407200,0.579994
6/19/2015,127.709999,127.82,126.400002,126.599998,118.522812,54716900,-1.279999
6/22/2015,127.489998,128.059998,127.080002,127.610001,119.468369,34039300,1.010003
6/23/2015,127.480003,127.610001,126.879997,127.029999,118.925377,30268900,-0.580002
6/24/2015,127.209999,129.800003,127.120003,128.110001,119.936462,55280900,1.080002
6/25/2015,128.860001,129.199997,127.5,127.5,119.365395,31938100,-0.610001
6/26/2015,127.669998,127.989998,126.510002,126.75,118.663246,44066800,-0.75
6/29/2015,125.459999,126.470001,124.480003,124.529999,116.584877,49161400,-2.220001
6/30/2015,125.57,126.120003,124.860001,125.43,117.427444,44370700,0.900001
7/1/2015,126.900002,126.940002,125.989998,126.599998,118.522812,30238800,1.169998
7/2/2015,126.43,126.690002,125.769997,126.440002,118.373024,27211000,-0.159996
7/6/2015,124.940002,126.230003,124.849998,126,117.96109,28060400,-0.440002
7/7/2015,125.889999,126.150002,123.769997,125.690002,117.67086,46946800,-0.309998
7/8/2015,124.480003,124.639999,122.540001,122.57,114.749931,60761600,-3.120002
7/9/2015,123.849998,124.059998,119.220001,120.07,112.409424,77821600,-2.5
7/10/2015,121.940002,123.849998,121.209999,123.279999,115.414635,61354500,3.209999
7/13/2015,125.029999,125.760002,124.32,125.660004,117.642792,41440500,2.380005
7/14/2015,126.040001,126.370003,125.040001,125.610001,117.59597,31768100,-0.050003
7/15/2015,125.720001,127.150002,125.580002,126.82,118.728775,33649200,1.209999
7/16/2015,127.739998,128.570007,127.349998,128.509995,120.310944,36222400,1.689995
7/17/2015,129.080002,129.619995,128.309998,129.619995,121.350128,46164700,1.11
