Date,Open,High,Low,Close,Adj Close,Volume,ups and down
4/24/2015,439,452.649994,439,445.100006,445.100006,17176900,0
4/27/2015,443.859985,446.98999,437.410004,438.559998,438.559998,5430900,-6.540008
4/28/2015,438.51001,439,428.040009,429.309998,429.309998,4140500,-9.25
4/29/2015,426.75,434.23999,426.029999,429.369995,429.369995,3621700,0.059997
4/30/2015,427.109985,431.75,419.23999,421.779999,421.779999,3647900,-7.589996
5/1/2015,423.820007,425.640015,416,422.869995,422.869995,3565800,1.089996
5/4/2015,424.799988,429.769989,422.420013,423.040009,423.040009,2270400,0.170014
5/5/2015,422.850006,427.51001,421.019989,421.190002,421.190002,2856400,-1.850007
5/6/2015,421.429993,422.720001,414.549988,419.100006,419.100006,2552500,-2.089996
5/7/2015,424.149994,428.5,422.850006,426.880005,426.880005,2766100,7.779999
5/8/2015,430.75,435.200012,430.170013,433.690002,433.690002,2908800,6.809997
5/11/2015,432.51001,439,431.369995,432.850006,432.850006,2393700,-0.839996
5/12/2015,431.079987,433.25,426.709991,431.019989,431.019989,1947800,-1.830017
5/13/2015,429.980011,433.529999,425.799988,426.869995,426.869995,1996300,-4.149994
5/14/2015,429.450012,433,427.01001,432.279999,432.279999,1888500,5.410004
5/15/2015,428,430.399994,424.299988,426,426,4240300,-6.279999
5/18/2015,426,427.269989,421.459991,425.23999,425.23999,2268700,-0.76001
5/19/2015,424.869995,428.23999,420.630005,421.709991,421.709991,2464200,-3.529999
5/20/2015,420.600006,427.100006,418.359985,423.859985,423.859985,2196200,2.149994
5/21/2015,428,436.899994,428,431.630005,431.630005,4121400,7.77002
5/22/2015,431.549988,432.440002,427.609985,427.630005,427.630005,2020600,-4
5/26/2015,426.200012,427,422,425.470001,425.470001,2244200,-2.160004
5/27/2015,427.450012,431.850006,425.01001,431.420013,431.420013,2231100,5.950012
5/28/2015,429.709991,431.350006,425.470001,426.570007,426.570007,1912400,-4.850006
5/29/2015,427.230011,432.5,427.230011,429.230011,429.230011,3008600,2.660004
6/1/2015,430.399994,433.160004,426.200012,430.920013,430.920013,2253300,1.690002
